file_name,gamma,t_half_2,t_half_3,converged,iterations,objective_value
bs_180218_160441.csv,2.24951756785,4.07290490479,29.5048284027,True,66,162.926957437
bs_180218_160445.csv,2.26545826515,4.42364149519,31.573738271,True,63,160.524725288
bs_180218_160449.csv,2.17774247985,4.78548564885,35.1714382925,True,61,153.504038181
bs_180218_160453.csv,2.3512307501,4.98466651325,34.4985387733,True,64,152.901558481
bs_180218_160457.csv,2.10147696569,4.31042729392,34.1658705225,True,59,168.922158036
bs_180218_160502.csv,2.48614624207,4.98687158597,35.3407573219,True,63,153.119175557
bs_180218_160506.csv,2.20676425867,4.11988517126,35.8401208708,True,63,162.206340648
bs_180218_160511.csv,2.10304110126,4.11742771835,30.7883762701,True,67,166.633292792
bs_180218_160515.csv,2.37216855925,5.21594146236,41.2849847821,True,89,152.594027285
bs_180218_160521.csv,2.18376209391,4.51871953771,33.7386638043,True,76,159.73890504
bs_180218_160526.csv,2.5427267098,4.64704816935,31.3262345047,True,67,157.627487433
bs_180218_160531.csv,2.07623501789,3.99914437483,32.6111821177,True,68,170.276275346
bs_180218_160536.csv,1.78117528539,3.17249883744,23.347836103,True,82,182.10164483
bs_180218_160541.csv,1.93545451103,3.22442635869,25.8491057638,True,70,164.243427774
bs_180218_160545.csv,2.26131917538,4.23669946574,27.5463954913,True,56,162.023503762
bs_180218_160550.csv,1.81424809275,3.53564384977,29.3534692268,True,65,177.87744181
bs_180218_160554.csv,2.042355,4.25046097342,30.8295208693,True,74,169.816681941
bs_180218_160559.csv,2.03737167946,4.39023749765,32.6609125287,True,60,158.29122819
bs_180218_160603.csv,2.38636538235,3.98689450427,26.8798901353,True,75,158.066964817
bs_180218_160608.csv,2.05880343249,3.91041666777,31.6357301338,True,68,174.557644781
bs_180218_160613.csv,2.12609335447,4.35039973265,31.3484939089,True,60,154.50034309
bs_180218_160617.csv,1.97001380319,3.71620887412,29.4692402622,True,64,173.105418071
bs_180218_160621.csv,1.88706390066,3.87701548918,29.988307434,True,53,175.75456594
bs_180218_160625.csv,1.8809019007,3.59099162983,33.50697211,True,65,168.847806827
bs_180218_160630.csv,2.43145504555,4.47892470105,35.4365272293,True,64,162.621723661
bs_180218_160635.csv,2.09298325684,4.23199193485,33.9398259603,True,68,163.612666062
bs_180218_160639.csv,2.70605772184,4.77016513328,36.5413147341,True,74,160.225959636
bs_180218_160645.csv,2.45616318957,4.57970285844,32.1569877722,True,68,160.316312953
bs_180218_160650.csv,2.25341089784,4.39459243705,31.1238614337,True,65,170.402693611
bs_180218_160655.csv,2.23363859271,4.83292348327,38.0574608097,True,78,166.710537169
bs_180218_160700.csv,2.16173416346,4.53982996725,33.4581643549,True,74,162.609875315
bs_180218_160705.csv,2.06638256658,4.51901813369,32.7928420038,True,63,165.31331108
bs_180218_160709.csv,2.45605912036,4.30999567439,32.8165859249,True,66,161.731559279
bs_180218_160714.csv,2.0556102711,4.33959906277,32.9668995572,True,71,161.253820578
bs_180218_160719.csv,2.28881291338,4.47247149162,33.1902371439,True,54,155.983269477
bs_180218_160722.csv,2.49080271216,4.94650040496,32.6756949539,True,62,159.095169539
bs_180218_160727.csv,2.37956475342,4.83666146245,29.0929209666,True,66,151.094497328
bs_180218_160731.csv,2.1066843901,4.48533995683,27.8876200663,True,70,162.534767912
bs_180218_160735.csv,1.88961021472,3.39673964612,32.2291761423,True,62,166.333441371
bs_180218_160740.csv,2.12126229661,4.32190518304,39.1938942136,True,64,160.617033387
bs_180218_160744.csv,2.02403806888,3.9765532349,28.9990920654,True,72,167.322248255
bs_180218_160749.csv,1.98092861758,4.37021428961,35.7082754577,True,68,155.955627653
bs_180218_160753.csv,2.42381594535,4.7039573277,31.0573505462,True,70,148.446376656
bs_180218_160757.csv,2.02226996001,4.02969248758,29.6784820778,True,76,162.482303778
bs_180218_160802.csv,2.0658121895,4.1248072122,31.4910169902,True,57,163.332324815
bs_180218_160806.csv,2.12229239725,4.66477485911,31.3399574167,True,67,171.726881124
bs_180218_160811.csv,1.89721561762,3.28002691779,32.873904151,True,72,174.312719564
bs_180218_160816.csv,2.04027373152,4.38369300599,34.0341779241,True,82,161.495203101
bs_180218_160821.csv,2.20441292222,4.68884830457,32.6113358885,True,64,166.279137682
bs_180218_160825.csv,2.08615851081,4.14563168906,32.2149876704,True,64,173.298493464
bs_180218_160830.csv,2.13660071382,4.83909500577,36.6947208576,True,64,168.424435314
bs_180218_160834.csv,2.09222471274,3.86651523908,30.3801797109,True,67,165.2073104
bs_180218_160839.csv,2.23050928269,4.16423772098,27.6963705142,True,58,166.689663162
bs_180218_160843.csv,2.12342415635,4.26028204894,29.8942311476,True,55,162.572795353
bs_180218_160847.csv,2.43244934919,4.8409853679,34.5160702108,True,68,163.87956239
bs_180218_160852.csv,2.05678836894,4.41454983647,30.3044552681,True,71,163.340668659
bs_180218_160857.csv,1.73752381004,3.32944096254,27.335346837,True,70,165.073925962
bs_180218_160901.csv,2.18366784234,4.11653749652,31.3124937696,True,74,158.82562864
bs_180218_160906.csv,2.25602935023,4.49132083644,33.7572291248,True,60,166.617730028
bs_180218_160910.csv,1.97168457616,3.99286156323,32.5714733561,True,70,159.904517758
bs_180218_160915.csv,2.39207811037,5.04517334585,31.8208903681,True,73,156.612045007
bs_180218_160920.csv,2.20817475218,4.03935127295,32.1185047616,True,69,154.533523597
bs_180218_160924.csv,2.35724719913,5.38670322899,34.4986703537,True,63,153.979913616
bs_180218_160928.csv,2.21957183439,4.21974438721,30.4747755684,True,72,165.401492045
bs_180218_160933.csv,2.20959429107,4.50783705323,27.3932465797,True,55,161.69612544
